hum,mq,ts,temp
59,226,1261,21
59,227,1267,21
59,238,1272,21
59,240,1277,21
59,233,1283,21
59,229,1288,21
59,235,1293,21
59,227,1298,21
59,233,1304,21
59,225,1309,21
59,223,1314,21
59,224,1319,21
59,237,1325,21
59,236,1330,21
59,231,1335,21
59,226,1341,21
59,227,1346,21
59,234,1351,21
59,233,1356,21
59,225,1362,21
59,227,1367,21
59,227,1372,21
59,227,1377,21
59,224,1383,21
59,222,1388,21
59,225,1393,21
59,231,1399,21
59,224,1404,21
59,223,1409,21
59,225,1414,21
59,219,1420,21
59,228,1425,21
59,227,1430,21
59,228,1435,21
59,227,1441,21
59,234,1446,21
59,219,1451,21
59,221,1457,21
59,225,1462,21
59,230,1467,21
59,233,1472,21
59,231,1478,21
59,230,1483,21
59,232,1488,21
59,229,1493,21
59,229,1499,21
59,224,1504,21
59,224,1509,21
59,225,1515,21
59,233,1520,21
59,219,1525,21
59,223,1530,21
59,226,1536,21
59,227,1541,21
59,240,1546,21
59,229,1551,21
59,233,1557,21
59,231,1562,21
59,231,1567,21
60,238,1573,21
60,228,1578,21
60,232,1583,21
59,237,1588,21
59,258,1594,21
60,243,1599,21
60,240,1604,21
60,274,1609,21
60,301,1615,21
61,254,1620,21
61,240,1625,21
61,234,1631,21
60,239,1636,21
60,242,1641,21
60,233,1646,21
60,231,1652,21
60,243,1657,21
60,233,1662,21
60,229,1668,21
60,264,1673,21
60,287,1678,21
61,254,1683,21
60,245,1689,21
60,241,1694,21
60,237,1699,21
60,236,1704,21
60,243,1710,21
60,224,1715,21
60,228,1720,21
60,223,1726,21
60,229,1731,21
59,224,1736,21
59,227,1741,21
59,226,1747,21
59,228,1752,21
59,235,1757,21
60,237,1762,21
60,227,1768,21
60,223,1773,21
59,226,1778,21
59,255,1784,21
60,231,1789,21
60,234,1794,21
60,227,1799,21
60,223,1805,21
59,221,1810,21
59,224,1815,21
59,220,1820,21
59,223,1826,21
59,222,1831,21
59,219,1836,21
59,219,1842,21
59,225,1847,21
59,224,1852,21
59,228,1857,21
60,224,1863,21
60,226,1868,21
60,219,1873,21
60,227,1878,21
60,219,1884,21
60,217,1889,21
60,222,1894,21
60,215,1900,21
60,211,1905,21
60,236,1910,21
60,249,1915,21
60,266,1921,21
60,273,1926,21
60,272,1931,21
60,281,1936,21
60,282,1942,21
60,283,1947,21
60,279,1952,21
60,260,1958,21
60,255,1963,21
60,260,1968,21
60,246,1973,21
60,240,1979,21
60,240,1984,21
60,245,1989,21
60,241,1994,21
60,237,2000,21
60,235,2005,21
60,223,2010,21
60,227,2016,21
60,236,2021,21
60,236,2026,21
60,240,2031,21
60,238,2037,21
60,236,2042,21
60,231,2047,21
60,231,2052,21
60,238,2058,21
60,235,2063,21
61,235,2068,21
61,244,2074,21
61,232,2079,21
61,229,2084,21
61,240,2089,21
61,229,2095,21
61,234,2100,21
61,231,2105,21
61,228,2111,21
61,234,2116,21
61,225,2121,21
61,225,2126,21
61,223,2132,21
61,227,2137,21
61,215,2142,21
61,232,2147,21
61,226,2153,21
61,223,2158,21
61,221,2163,21
61,222,2169,21
61,226,2174,21
61,225,2179,21
60,228,2184,21
60,230,2190,21
60,232,2195,21
60,230,2200,21
60,230,2205,21
61,229,2211,21
61,226,2216,21
61,232,2221,21
61,231,2227,21
61,238,2232,21
61,239,2237,21
61,240,2242,21
61,242,2248,21
61,230,2253,21
61,245,2258,21
61,238,2263,21
61,235,2269,21
61,240,2274,21
61,234,2279,21
61,232,2285,21
61,235,2290,21
61,236,2295,21
61,233,2300,21
61,235,2306,21
61,233,2311,21
61,237,2316,21
61,227,2321,21
61,237,2327,21
61,239,2332,21
61,240,2337,21
61,234,2343,21
61,237,2348,21
61,234,2353,21
61,237,2358,21
61,234,2364,21
61,235,2369,21
61,237,2374,21
61,230,2379,21
61,234,2385,21
61,227,2390,21
61,235,2395,21
61,230,2401,21
61,230,2406,21
61,241,2411,21
61,233,2416,21
61,231,2422,21
61,239,2427,21
61,229,2432,21
61,231,2437,21
61,231,2443,21
61,230,2448,21
61,227,2453,21
61,233,2459,21
61,211,2464,21
61,233,2469,21
61,236,2474,21
61,227,2480,21
60,235,2485,21
60,227,2490,21
60,229,2495,21
60,226,2501,21
60,221,2506,21
60,226,2511,21
60,227,2517,21
60,233,2522,21
60,228,2527,21
60,223,2532,21
60,224,2538,21
60,208,2543,21
60,219,2548,21
60,218,2554,21
60,220,2559,21
60,213,2564,21
60,205,2569,21
60,214,2575,21
60,218,2580,21
60,230,2585,21
60,227,2590,21
60,224,2596,21
60,225,2601,21
60,229,2606,21
60,224,2612,21
60,221,2617,21
60,211,2622,21
60,207,2627,21
60,209,2633,21
60,210,2638,21
60,210,2643,21
60,208,2648,21
60,207,2654,21
60,207,2659,21
60,208,2664,21
60,210,2670,21
60,215,2675,21
60,209,2680,21
60,211,2685,21
60,210,2691,21
60,209,2696,21
60,218,2701,21
60,209,2706,21
60,214,2712,21
60,218,2717,21
60,217,2722,21
60,229,2728,21
60,219,2733,21
60,221,2738,21
60,224,2743,21
60,228,2749,21
60,215,2754,21
60,221,2759,21
60,222,2764,21
60,222,2770,21
60,226,2775,21
60,228,2780,21
60,232,2786,21
60,236,2791,21
60,228,2796,21
60,224,2801,21
60,222,2807,21
60,228,2812,21
60,221,2817,21
60,224,2822,21
60,224,2828,21
60,227,2833,21
60,220,2838,21
60,229,2844,21
60,223,2849,21
61,227,2854,21
61,218,2859,21
61,212,2865,21
61,220,2870,21
60,219,2875,21
60,233,2880,21
60,224,2886,21
60,219,2891,21
60,222,2896,21
60,215,2902,21
60,211,2907,21
60,209,2912,21
60,210,2917,21
60,208,2923,21
60,211,2928,21
60,218,2933,21
60,213,2938,21
60,216,2944,21
60,209,2949,21
60,211,2954,21
60,209,2960,21
60,208,2965,21
60,220,2970,21
60,212,2975,21
60,209,2981,21
60,208,2986,21
60,211,2991,21
60,208,2996,21
60,210,3002,21
60,213,3007,21
60,209,3012,21
60,215,3018,21
60,209,3023,21
60,211,3028,21
60,209,3033,21
60,211,3039,21
60,208,3044,21
60,212,3049,21
60,212,3055,21
60,208,3060,21
60,220,3065,21
60,218,3070,21
60,218,3076,21
60,222,3081,21
60,212,3086,21
60,221,3091,21
60,211,3097,21
60,217,3102,21
60,221,3107,21
60,216,3113,21
60,216,3118,21
60,218,3123,21
60,211,3128,21
60,208,3134,21
60,223,3139,21
61,224,3144,21
61,213,3149,21
61,219,3155,21
61,209,3160,21
61,216,3165,21
61,212,3171,21
60,213,3176,21
60,216,3181,21
60,217,3186,21
60,215,3192,21
60,219,3197,21
60,223,3202,21
60,223,3207,21
60,219,3213,21
60,222,3218,21
60,223,3223,21
60,215,3229,21
60,224,3234,21
60,227,3239,21
60,219,3244,21
60,222,3250,21
60,223,3255,21
60,229,3260,21
60,223,3265,21
60,219,3271,21
60,222,3276,21
60,214,3281,21
60,213,3287,21
60,214,3292,21
60,214,3297,21
60,217,3302,21
60,215,3308,21
60,213,3313,21
60,210,3318,21
60,210,3323,21
60,207,3329,21
60,215,3334,21
60,214,3339,21
60,215,3345,21
60,210,3350,21
60,215,3355,21
60,205,3360,21
60,207,3366,21
60,202,3371,21
60,201,3376,21
60,195,3381,21
60,204,3387,21
60,208,3392,21
60,206,3397,21
60,206,3403,21
60,208,3408,21
60,208,3413,21
60,208,3418,21
60,208,3424,21
60,212,3429,21
60,208,3434,21
60,206,3439,21
60,201,3445,21
60,199,3450,21
60,200,3455,21
60,203,3461,21
60,199,3466,21
60,207,3471,21
60,209,3476,21
60,218,3482,21
60,208,3487,21
60,206,3492,21
60,201,3497,21
60,206,3503,21
60,205,3508,21
60,204,3513,21
60,199,3519,21
60,200,3524,21
60,203,3529,21
60,205,3534,21
60,202,3540,21
60,206,3545,21
60,203,3550,21
60,209,3556,21
60,206,3561,21
60,209,3566,21
60,206,3571,21
60,211,3577,21
60,208,3582,21
60,207,3587,21
60,208,3592,21
60,201,3598,21
60,207,3603,21
60,205,3608,21
60,205,3614,21
60,204,3619,21
60,203,3624,21
60,205,3629,21
60,206,3635,21
60,202,3640,21
60,211,3645,21
60,203,3650,21
60,208,3656,21
60,208,3661,21
60,205,3666,21
60,208,3672,21
60,198,3677,21
60,203,3682,21
60,206,3687,21
60,207,3693,21
60,203,3698,21
60,207,3703,21
60,207,3708,21
60,207,3714,21
60,204,3719,21
60,199,3724,21
60,198,3730,21
60,199,3735,21
60,197,3740,21
60,195,3745,21
60,197,3751,21
60,198,3756,21
60,195,3761,21
60,199,3766,21
60,197,3772,21
60,199,3777,21
60,205,3782,21
60,194,3788,21
60,196,3793,21
60,195,3798,21
60,198,3803,21
60,203,3809,21
60,226,3814,21
60,211,3819,21
60,208,3824,21
60,208,3830,21
60,212,3835,21
60,213,3840,21
60,208,3846,21
60,211,3851,21
60,209,3856,21
60,209,3861,21
60,214,3867,21
60,208,3872,21
60,208,3877,21
60,208,3882,21
60,207,3888,21
60,208,3893,21
60,222,3898,21
60,213,3904,21
60,209,3909,21
60,209,3914,21
60,214,3919,21
60,213,3925,21
60,221,3930,21
60,214,3935,21
60,215,3940,21
60,217,3946,21
60,215,3951,21
60,228,3956,21
60,213,3962,21
60,213,3967,21
60,214,3972,21
60,215,3977,21
60,214,3983,21
60,224,3988,21
60,224,3993,21
60,217,3998,21
61,219,4004,21
61,222,4009,21
61,216,4014,21
61,229,4020,21
61,221,4025,21
61,224,4030,21
61,224,4035,21
61,223,4041,21
61,227,4046,21
61,220,4051,21
61,223,4057,21
61,227,4062,21
61,225,4067,21
61,219,4072,21
61,219,4078,21
61,225,4083,21
61,217,4088,21
61,215,4093,21
61,228,4099,21
61,226,4104,21
61,221,4109,21
61,230,4115,21
61,224,4120,21
61,216,4125,21
61,224,4130,21
61,219,4136,21
61,231,4141,21
61,220,4146,21
61,230,4151,21
61,226,4157,21
61,218,4162,21
61,218,4167,21
61,223,4173,21
61,227,4178,21
61,225,4183,21
61,233,4188,21
61,219,4194,21
61,223,4199,21
61,226,4204,21
61,225,4209,21
61,225,4215,21
61,224,4220,21
61,222,4225,21
61,222,4231,21
61,223,4236,21
61,225,4241,21
61,220,4246,21
61,222,4252,21
61,223,4257,21
61,213,4262,21
61,213,4267,21
61,215,4273,21
61,222,4278,21
61,218,4283,21
61,221,4289,21
61,213,4294,21
61,219,4299,21
61,223,4304,21
61,224,4310,21
61,224,4315,21
61,220,4320,21
61,227,4325,21
61,217,4331,21
61,217,4336,21
61,226,4341,21
61,219,4347,21
61,218,4352,21
61,225,4357,21
61,221,4362,21
61,222,4368,21
61,222,4373,21
61,225,4378,21
61,224,4383,21
61,228,4389,21
61,217,4394,21
61,224,4399,21
62,228,4405,21
62,229,4410,21
62,241,4415,21
62,242,4420,21
62,243,4426,21
62,256,4431,21
63,257,4436,21
63,281,4441,21
63,304,4447,21
63,304,4452,21
64,307,4457,21
64,308,4463,21
64,288,4468,21
64,283,4473,21
64,262,4478,21
63,241,4484,21
63,261,4489,21
63,272,4494,21
63,266,4499,21
63,269,4505,21
63,262,4510,21
63,272,4515,21
63,253,4521,21
63,265,4526,21
63,293,4531,21
63,279,4536,21
63,281,4542,21
63,292,4547,21
63,277,4552,21
63,285,4558,21
63,278,4563,21
63,265,4568,21
63,270,4573,21
63,264,4579,21
63,272,4584,21
63,279,4589,21
63,272,4594,21
63,263,4600,21
63,272,4605,21
63,287,4610,21
63,267,4616,21
63,267,4621,21
63,260,4626,21
63,240,4631,21
62,236,4637,21
62,306,4642,21
63,273,4647,21
63,258,4652,21
63,240,4658,21
62,235,4663,21
62,225,4668,21
61,230,4674,21
61,230,4679,21
61,263,4684,21
61,259,4689,21
61,273,4695,21
61,258,4700,21
61,254,4705,21
61,242,4710,21
61,233,4716,21
61,267,4721,21
61,266,4726,21
61,262,4732,21
61,272,4737,21
61,263,4742,21
61,256,4747,21
61,249,4753,21
61,251,4758,21
61,282,4763,21
61,289,4768,21
61,275,4774,21
61,268,4779,21
61,268,4784,21
61,256,4790,21
61,256,4795,21
61,260,4800,21
61,247,4805,21
60,241,4811,21
60,252,4816,21
61,263,4821,21
61,269,4826,21
60,251,4832,21
60,245,4837,21
60,243,4842,21
60,247,4848,21
60,242,4853,21
60,240,4858,21
60,240,4863,21
59,239,4869,21
59,240,4874,21
59,232,4879,21
59,272,4884,21
60,250,4890,21
60,240,4895,21
60,250,4900,21
60,242,4906,21
60,240,4911,21
59,239,4916,21
59,231,4921,21
59,236,4927,21
59,239,4932,21
59,237,4937,21
59,240,4942,21
59,237,4948,21
59,270,4953,21
59,276,4958,21
60,263,4964,21
60,261,4969,21
60,257,4974,21
60,255,4979,21
60,255,4985,21
60,251,4990,21
60,256,4995,21
59,255,5001,21
60,261,5006,21
59,265,5011,21
59,261,5016,21
59,295,5022,21
60,295,5027,21
60,295,5032,21
60,278,5037,21
60,275,5043,21
60,290,5048,21
60,285,5053,21
60,292,5059,21
60,277,5064,21
59,275,5069,21
59,272,5074,21
59,272,5080,21
59,272,5085,21
59,272,5090,21
59,270,5095,21
59,272,5101,21
59,269,5106,21
59,267,5111,21
59,272,5117,21
59,263,5122,21
59,272,5127,21
59,267,5132,21
59,267,5138,21
59,266,5143,21
59,267,5148,21
59,263,5153,21
59,257,5159,21
59,263,5164,21
59,272,5169,21
59,260,5175,21
59,259,5180,21
59,262,5185,21
59,259,5190,21
59,256,5196,21
58,260,5201,21
59,264,5206,21
59,270,5211,21
59,282,5217,21
59,283,5222,21
59,275,5227,21
59,272,5233,21
59,266,5238,21
59,269,5243,21
59,271,5248,21
59,266,5254,21
59,270,5259,21
59,276,5264,21
59,273,5269,21
59,283,5275,21
59,274,5280,21
59,273,5285,21
59,267,5291,21
59,257,5296,21
59,255,5301,21
59,249,5306,21
59,256,5312,21
58,258,5317,21
58,286,5322,21
58,262,5327,21
58,252,5333,21
58,250,5338,21
58,241,5343,21
58,242,5349,21
58,236,5354,21
58,236,5359,21
58,252,5364,21
58,267,5370,21
58,251,5375,21
58,243,5380,21
58,246,5385,21
58,240,5391,21
58,278,5396,21
59,269,5401,21
59,255,5407,21
59,244,5412,21
59,247,5417,21
59,247,5422,21
58,239,5428,21
58,240,5433,21
59,240,5438,21
59,244,5444,21
59,245,5449,21
59,241,5454,21
59,259,5459,21
59,256,5465,21
59,257,5470,21
59,246,5475,21
59,252,5480,21
59,256,5486,21
59,265,5491,21
59,295,5496,21
59,265,5502,21
59,257,5507,21
59,265,5512,21
59,262,5517,21
59,269,5523,21
59,251,5528,21
58,247,5533,21
59,249,5538,21
58,253,5544,21
58,253,5549,21
58,244,5554,21
58,254,5560,21
58,245,5565,21
58,248,5570,21
58,246,5575,21
58,242,5581,21
58,244,5586,21
58,243,5591,21
58,242,5596,21
58,246,5602,21
58,246,5607,21
58,255,5612,21
58,247,5618,21
58,253,5623,21
58,262,5628,21
58,257,5633,21
58,258,5639,21
58,254,5644,21
58,255,5649,21
58,273,5654,21
58,267,5660,21
58,256,5665,21
58,267,5670,21
58,255,5676,21
58,279,5681,21
58,256,5686,21
58,252,5691,21
58,250,5697,21
58,249,5702,21
58,252,5707,21
58,251,5712,21
58,247,5718,21
58,245,5723,21
58,244,5728,21
58,242,5734,21
58,242,5739,21
58,256,5744,21
58,256,5749,21
59,243,5755,21
58,251,5760,21
58,249,5765,21
58,250,5770,21
58,265,5776,21
59,260,5781,21
59,250,5786,21
58,254,5792,21
58,241,5797,21
58,243,5802,21
58,242,5807,21
58,245,5813,21
58,240,5818,21
58,243,5823,21
58,246,5828,21
58,241,5834,21
58,242,5839,21
58,237,5844,21
58,247,5850,21
58,241,5855,21
58,241,5860,21
58,242,5865,21
58,245,5871,21
58,247,5876,21
58,242,5881,21
58,239,5887,21
58,240,5892,21
58,240,5897,21
58,239,5902,21
58,241,5908,21
58,240,5913,21
58,240,5918,21
58,227,5923,21
58,226,5929,21
58,240,5934,21
58,242,5939,21
58,233,5945,21
58,243,5950,21
58,239,5955,21
58,246,5960,21
58,240,5966,21
58,237,5971,21
58,241,5976,21
58,240,5981,21
58,239,5987,21
58,243,5992,21
58,247,5997,21
58,240,6003,21
58,243,6008,21
58,240,6013,21
58,240,6018,21
58,238,6024,21
58,241,6029,21
58,237,6034,21
58,246,6039,21
58,247,6045,21
58,240,6050,21
58,243,6055,21
58,244,6061,21
58,243,6066,21
58,239,6071,21
58,242,6076,21
59,235,6082,21
59,239,6087,21
59,240,6092,21
59,241,6097,21
59,243,6103,21
59,243,6108,21
59,241,6113,21
59,240,6119,21
59,239,6124,21
59,245,6129,21
59,246,6134,21
59,241,6140,21
59,247,6145,21
59,240,6150,21
59,241,6155,21
59,240,6161,21
59,244,6166,21
59,240,6171,21
59,241,6177,21
59,242,6182,21
59,244,6187,21
59,243,6192,21
59,247,6198,21
59,251,6203,21
59,246,6208,21
59,248,6213,21
59,243,6219,21
59,244,6224,21
59,251,6229,21
59,257,6235,21
59,243,6240,21
59,250,6245,21
59,242,6250,21
59,240,6256,21
59,252,6261,21
59,248,6266,21
59,240,6271,21
59,245,6277,21
59,239,6282,21
59,240,6287,21
59,239,6293,21
59,240,6298,21
59,240,6303,21
59,240,6308,21
59,235,6314,21
59,239,6319,21
59,230,6324,21
59,234,6329,21
59,240,6335,21
59,228,6340,21
59,231,6345,21
59,226,6351,21
58,223,6356,21
58,227,6361,21
58,220,6366,21
58,220,6372,21
58,222,6377,21
58,223,6382,21
58,215,6388,21
58,222,6393,21
58,224,6398,21
58,220,6403,21
58,218,6409,21
58,210,6414,21
58,208,6419,21
58,213,6424,21
58,212,6430,21
58,211,6435,21
58,208,6440,21
58,209,6446,21
58,208,6451,21
58,212,6456,21
58,208,6461,21
58,206,6467,21
58,201,6472,21
58,201,6477,21
58,199,6482,21
58,205,6488,21
58,204,6493,21
58,199,6498,21
58,194,6504,21
58,193,6509,21
58,196,6514,21
58,194,6519,21
58,199,6525,21
58,192,6530,21
58,195,6535,21
58,188,6540,21
59,186,6546,20
59,177,6551,20
59,182,6556,20
59,180,6562,20
59,183,6567,20
59,180,6572,20
59,182,6577,20
59,182,6583,20
59,180,6588,20
59,176,6593,20
59,179,6598,20
59,182,6604,20
59,183,6609,20
59,175,6614,20
59,177,6620,20
59,176,6625,20
59,180,6630,20
59,176,6635,20
59,183,6641,20
59,174,6646,20
59,173,6651,20
59,168,6656,20
59,174,6662,20
59,176,6667,20
59,176,6672,20
59,175,6678,20
59,176,6683,20
59,174,6688,20
59,174,6693,20
59,172,6699,20
59,176,6704,20
59,175,6709,20
59,166,6714,20
59,172,6720,20
59,169,6725,20
59,165,6730,20
59,165,6736,20
59,169,6741,20
59,172,6746,20
59,174,6751,20
59,169,6757,20
59,165,6762,20
59,173,6767,20
59,174,6772,20
59,172,6778,20
59,169,6783,20
59,175,6788,20
59,172,6794,20
59,175,6799,20
59,175,6804,20
59,163,6809,20
59,174,6815,20
59,167,6820,20
59,168,6825,20
59,166,6831,20
59,172,6836,20
59,170,6841,20
59,173,6846,20
59,172,6852,20
59,166,6857,20
59,176,6862,20
59,174,6867,20
59,167,6873,20
59,165,6878,20
59,161,6883,20
59,167,6889,20
59,160,6894,20
59,168,6899,20
59,159,6904,20
59,160,6910,20
59,168,6915,20
59,162,6920,20
59,159,6925,20
59,163,6931,20
59,166,6936,20
59,160,6941,20
59,167,6947,20
59,160,6952,20
59,167,6957,20
59,153,6962,20
59,160,6968,20
59,149,6973,20
59,156,6978,20
59,162,6983,20
59,165,6989,20
59,161,6994,20
59,154,6999,20
59,154,7005,20
59,156,7010,20
59,151,7015,20
59,160,7020,20
59,162,7026,20
59,157,7031,20
59,161,7036,20
59,174,7041,20
59,160,7047,20
59,160,7052,20
59,175,7057,20
59,169,7063,20
59,170,7068,20
59,174,7073,20
59,182,7078,20
59,172,7084,20
59,170,7089,20
59,188,7094,20
59,176,7099,20
59,170,7105,20
59,168,7110,20
59,167,7115,20
59,171,7121,20
59,173,7126,20
59,167,7131,20
59,172,7136,20
59,169,7142,20
59,170,7147,20
59,185,7152,20
59,171,7157,20
59,166,7163,20
59,173,7168,20
59,175,7173,20
59,170,7179,20
59,170,7184,20
59,181,7189,20
59,172,7194,20
59,176,7200,20
59,176,7205,20
59,168,7210,20
59,172,7215,20
59,176,7221,20
59,174,7226,20
59,175,7231,20
59,170,7237,20
59,169,7242,20
59,173,7247,20
59,176,7252,20
59,172,7258,20
59,171,7263,20
59,173,7268,20
59,172,7274,20
59,170,7279,20
59,176,7284,20
59,165,7289,20
60,175,7295,20
60,172,7300,20
60,174,7305,20
60,179,7310,20
60,186,7316,20
60,174,7321,20
60,171,7326,20
60,172,7332,20
60,176,7337,20
60,175,7342,20
60,180,7347,20
60,176,7353,20
60,173,7358,20
60,177,7363,20
60,176,7368,20
60,176,7374,20
60,173,7379,20
60,176,7384,20
60,173,7390,20
60,177,7395,20
60,176,7400,20
60,176,7405,20
60,169,7411,20
60,176,7416,20
60,181,7421,20
60,179,7426,20
60,180,7432,20
60,180,7437,20
60,180,7442,20
60,175,7448,20
60,177,7453,20
61,180,7458,20
61,179,7463,20
61,183,7469,20
61,177,7474,20
61,181,7479,20
61,186,7484,20
61,186,7490,20
61,196,7495,20
61,192,7500,20
62,189,7506,20
62,198,7511,20
62,203,7516,20
63,196,7521,20
61,200,7527,21
61,203,7532,21
62,202,7537,21
62,215,7542,21
62,214,7548,21
62,215,7553,21
62,207,7558,21
62,196,7564,21
62,192,7569,21
62,194,7574,21
62,193,7579,21
62,201,7585,21
62,208,7590,21
62,201,7595,21
62,210,7600,21
62,206,7606,21
62,203,7611,21
62,202,7616,21
62,195,7622,21
62,198,7627,21
62,194,7632,21
61,203,7637,21
61,194,7643,21
61,191,7648,21
61,196,7653,21
61,191,7658,21
61,191,7664,21
61,205,7669,21
61,201,7674,21
61,208,7680,21
61,207,7685,21
61,214,7690,21
61,212,7695,21
61,208,7701,21
62,217,7706,21
62,215,7711,21
62,224,7717,21
62,210,7722,21
62,211,7727,21
62,209,7732,21
62,213,7738,21
62,218,7743,21
62,224,7748,21
62,219,7753,21
62,227,7759,21
62,209,7764,21
61,211,7769,21
61,215,7775,21
61,220,7780,21
61,215,7785,21
61,211,7790,21
61,220,7796,21
62,229,7801,21
62,224,7806,21
61,209,7811,21
61,230,7817,21
62,219,7822,21
62,224,7827,21
62,229,7833,21
62,227,7838,21
62,218,7843,21
62,220,7848,21
62,234,7854,21
62,229,7859,21
62,224,7864,21
62,227,7869,21
62,221,7875,21
62,228,7880,21
62,211,7885,21
62,223,7891,21
62,213,7896,21
62,233,7901,21
62,240,7906,21
62,244,7912,21
62,240,7917,21
62,237,7922,21
62,234,7927,21
62,226,7933,21
62,239,7938,21
62,237,7943,21
62,235,7949,21
62,221,7954,21
62,209,7959,21
62,208,7964,21
62,225,7970,21
62,221,7975,21
61,236,7980,21
62,240,7985,21
62,226,7991,21
61,218,7996,21
61,205,8001,21
61,205,8007,21
61,207,8012,21
61,209,8017,21
61,219,8022,21
61,225,8028,21
61,218,8033,21
61,208,8038,21
61,205,8043,21
61,203,8049,21
61,197,8054,21
61,208,8059,21
60,222,8065,21
60,208,8070,21
61,208,8075,21
60,201,8080,21
60,203,8086,21
60,204,8091,21
60,198,8096,21
60,198,8102,21
60,195,8107,21
60,204,8112,21
60,219,8117,21
60,238,8123,21
61,241,8128,21
61,226,8133,21
61,222,8138,21
61,220,8144,21
61,226,8149,21
61,224,8154,21
61,241,8160,21
61,234,8165,21
61,220,8170,21
61,223,8175,21
61,229,8181,21
61,230,8186,21
61,228,8191,21
61,238,8196,21
61,233,8202,21
61,235,8207,21
61,243,8212,21
62,247,8218,21
62,231,8223,21
62,237,8228,21
62,232,8233,21
62,230,8239,21
62,252,8244,21
62,242,8249,21
62,240,8254,21
62,242,8260,21
62,240,8265,21
62,258,8270,21
62,250,8276,21
63,237,8281,21
63,239,8286,21
63,240,8291,21
63,243,8297,21
63,224,8302,21
63,223,8307,21
62,222,8312,21
62,224,8318,21
62,212,8323,21
62,210,8328,21
62,211,8334,21
62,208,8339,21
62,227,8344,21
62,238,8349,21
62,239,8355,21
62,240,8360,21
62,239,8365,21
63,238,8370,21
63,235,8376,21
63,239,8381,21
63,235,8386,21
63,238,8392,21
63,241,8397,21
63,240,8402,21
63,238,8407,21
63,240,8413,21
63,238,8418,21
63,235,8423,21
63,238,8428,21
63,243,8434,21
63,245,8439,21
63,235,8444,21
63,238,8450,21
63,227,8455,21
63,231,8460,21
62,235,8465,21
63,240,8471,21
63,238,8476,21
63,239,8481,21
63,240,8486,21
63,237,8492,21
63,224,8497,21
63,231,8502,21
63,237,8508,21
63,235,8513,21
63,234,8518,21
63,244,8523,21
63,249,8529,21
63,245,8534,21
63,238,8539,21
63,232,8545,21
63,225,8550,21
63,229,8555,21
63,228,8560,21
62,230,8566,21
62,231,8571,21
62,232,8576,21
62,244,8581,21
63,234,8587,21
63,234,8592,21
62,258,8597,21
63,240,8603,21
62,223,8608,21
62,226,8613,21
62,231,8618,21
62,235,8624,21
62,242,8629,21
62,236,8634,21
62,246,8639,21
62,234,8645,21
62,227,8650,21
62,229,8655,21
62,235,8661,21
62,228,8666,21
62,237,8671,21
62,232,8676,21
62,236,8682,21
62,223,8687,21
62,227,8692,21
62,230,8697,21
62,243,8703,21
63,238,8708,21
63,225,8713,21
62,215,8719,21
62,217,8724,21
62,223,8729,21
62,231,8734,21
62,231,8740,21
62,219,8745,21
62,221,8750,21
62,234,8755,21
62,229,8761,21
62,238,8766,21
62,240,8771,21
62,243,8777,21
63,247,8782,21
63,250,8787,21
63,246,8792,21
63,241,8798,21
63,240,8803,21
63,245,8808,21
63,258,8813,21
63,252,8819,21
63,255,8824,21
63,260,8829,21
63,245,8835,21
63,269,8840,21
64,252,8845,21
64,247,8850,21
63,246,8856,21
63,251,8861,21
63,240,8866,21
63,240,8871,21
63,239,8877,21
63,233,8882,21
63,240,8887,21
63,241,8893,21
63,232,8898,21
63,239,8903,21
63,240,8908,21
63,250,8914,21
63,245,8919,21
63,239,8924,21
63,240,8929,21
63,243,8935,21
63,240,8940,21
63,240,8945,21
63,250,8951,21
63,247,8956,21
63,241,8961,21
63,241,8966,21
63,256,8972,21
63,256,8977,21
63,269,8982,21
63,240,8988,21
63,223,8993,21
63,228,8998,21
63,240,9003,21
63,241,9009,21
63,243,9014,21
63,240,9019,21
63,227,9024,21
63,243,9030,21
63,235,9035,21
63,228,9040,21
63,224,9046,21
